抄袭关系详细分析

抄袭群组,学号1,提交时间1,学号2,提交时间2,相似度,结论
第1组,23071140217,2026-06-06 11:04:24,23071140216,2026-06-08 09:46:04,100%,互相抄袭
第2组,23071140214,2026-06-07 19:20:27,23071140228,2026-06-07 19:36:11,100%,互相抄袭
第3组,23071140233,2026-06-06 17:00:24,23071140220,2026-06-07 22:52:21,96.6%,互相抄袭
第4组,23071140216,2026-06-08 09:46:04,23071140223,2026-06-08 09:58:02,100%,互相抄袭
第5组,23071140213,2026-06-07 14:09:43,23071140219,2026-06-07 14:11:53,95.9%,互相抄袭
第6组,23071140204,2026-06-07 08:50:07,23071140208,2026-06-07 08:54:01,96.3%,互相抄袭
